day,close,pem,pep,p20,p50,p80
2013-02-06,3629.15,34.91,45.22,31.33,35.38,39.98
2013-02-07,3684.26,35.02,46.48,31.33,35.37,39.98
2013-02-08,3718.76,35.76,52.36,31.33,35.38,39.97
2013-02-18,3808.63,35.31,49.10,31.33,35.37,39.97
2013-02-19,3818.94,34.69,43.73,31.33,35.36,39.97
2013-02-20,3810.45,36.49,56.61,31.34,35.37,39.97
2013-02-21,3980.96,35.87,52.95,31.34,35.38,39.97
2013-02-22,3911.11,34.16,39.60,31.35,35.37,39.97
2013-02-25,3863.99,34.26,40.76,31.35,35.36,39.97
2013-02-26,3896.29,34.57,42.81,31.35,35.36,39.97
2013-02-27,3888.03,34.30,41.08,31.36,35.36,39.97
2013-02-28,3835.92,34.47,41.93,31.36,35.35,39.97
2013-03-01,3877.02,34.80,44.48,31.37,35.34,39.97
2013-03-04,3964.72,34.47,41.85,31.37,35.34,39.97
2013-03-05,3916.40,34.57,42.90,31.37,35.34,39.97
2013-03-06,4042.52,35.12,47.62,31.37,35.34,39.97
2013-03-07,4088.72,33.85,37.36,31.38,35.33,39.96
2013-03-08,3964.04,33.24,34.26,31.38,35.33,39.96
2013-03-11,3910.98,33.51,36.00,31.38,35.33,39.96
2013-03-12,3937.68,32.75,32.21,31.38,35.33,39.95
2013-03-13,3833.05,30.62,15.30,31.37,35.33,39.95
2013-03-14,3810.94,32.00,25.44,31.38,35.32,39.94
2013-03-15,3881.07,32.63,31.63,31.38,35.31,39.94
2013-03-18,3905.38,31.89,23.92,31.38,35.31,39.93
2013-03-19,3880.20,32.15,27.53,31.38,35.31,39.93
2013-03-20,3855.04,32.61,31.34,31.38,35.30,39.93
2013-03-21,3936.53,33.21,34.64,31.38,35.29,39.93
2013-03-22,3992.10,33.56,36.86,31.38,35.28,39.93
2013-03-25,4011.50,32.74,32.52,31.38,35.28,39.93
2013-03-26,3989.62,32.63,31.70,31.38,35.28,39.93
2013-03-27,4041.94,32.05,26.00,31.38,35.28,39.93
2013-03-28,4079.49,31.66,21.97,31.39,35.28,39.92
2013-03-29,4055.41,32.15,27.51,31.39,35.28,39.92
2013-04-01,4016.84,31.70,22.22,31.39,35.27,39.92
2013-04-02,4047.45,30.14,11.98,31.38,35.25,39.92
2013-04-03,3880.63,30.94,17.22,31.38,35.25,39.92
