day,close,pem,pep,p20,p50,p80
2014-01-28,2860.21,38.14,94.86,29.84,32.40,36.05
2014-01-29,2859.09,38.30,95.70,29.84,32.41,36.06
2014-01-30,2879.79,38.10,94.55,29.84,32.41,36.07
2014-02-07,2856.84,38.94,96.53,29.84,32.42,36.08
2014-02-10,2890.70,39.78,97.86,29.84,32.43,36.10
2014-02-11,2965.07,40.00,98.52,29.85,32.44,36.12
2014-02-12,2977.54,40.30,99.01,29.85,32.44,36.12
2014-02-13,2999.06,39.52,97.05,29.86,32.45,36.12
2014-02-14,2964.70,40.44,99.35,29.86,32.45,36.12
2014-02-17,3002.93,41.05,99.51,29.87,32.45,36.13
2014-02-18,3044.69,40.97,99.35,29.87,32.45,36.14
2014-02-19,3024.97,40.82,99.02,29.88,32.45,36.14
2014-02-20,3042.60,40.26,98.05,29.88,32.45,36.15
2014-02-21,3005.35,40.48,98.86,29.89,32.46,36.16
2014-02-24,2984.67,40.45,98.70,29.89,32.47,36.16
2014-02-25,2955.74,38.86,94.50,29.89,32.48,36.18
2014-02-26,2860.97,38.98,94.83,29.90,32.49,36.22
2014-02-27,2873.72,38.77,94.19,29.90,32.50,36.24
2014-02-28,2846.49,39.53,95.97,29.90,32.50,36.26
2014-03-03,2877.26,40.20,97.43,29.90,32.51,36.26
2014-03-04,2915.71,40.34,98.23,29.90,32.52,36.27
2014-03-05,2912.23,40.03,96.96,29.91,32.53,36.29
2014-03-06,2895.41,39.76,95.84,29.91,32.53,36.32
2014-03-07,2901.32,40.08,97.12,29.91,32.53,36.36
2014-03-10,2893.16,38.56,92.82,29.91,32.53,36.38
2014-03-11,2792.69,38.70,93.15,29.91,32.53,36.40
2014-03-12,2797.95,38.37,92.37,29.91,32.54,36.40
2014-03-13,2799.26,38.74,93.17,29.91,32.55,36.41
2014-03-14,2834.67,38.51,92.39,29.91,32.56,36.41
2014-03-17,2819.06,39.49,94.94,29.91,32.56,36.42
2014-03-18,2863.74,39.32,94.31,29.91,32.56,36.42
2014-03-19,2869.03,39.51,94.95,29.91,32.56,36.43
2014-03-20,2856.78,38.55,91.97,29.91,32.56,36.44
2014-03-21,2795.26,39.28,94.03,29.91,32.56,36.44
2014-03-24,2866.00,39.50,94.82,29.91,32.56,36.47
2014-03-25,2884.39,39.55,95.30,29.91,32.56,36.51
2014-03-26,2883.67,39.92,96.40,29.92,32.56,36.56
2014-03-27,2887.80,39.30,93.59,29.92,32.56,36.61
2014-03-28,2851.41,38.33,90.48,29.92,32.56,36.63
2014-03-31,2815.03,38.36,90.65,29.92,32.56,36.63
2014-04-01,2801.24,38.97,92.69,29.92,32.56,36.63
2014-04-02,2834.97,38.63,91.46,29.93,32.58,36.64
2014-04-03,2841.91,38.94,92.40,29.93,32.60,36.65
2014-04-04,2831.16,39.28,93.34,29.93,32.61,36.67
2014-04-08,2860.84,39.58,95.21,29.93,32.61,36.71
2014-04-09,2906.99,40.12,97.22,29.93,32.62,36.73
2014-04-10,2922.67,40.35,98.31,29.93,32.63,36.73
2014-04-11,2951.85,39.88,95.85,29.93,32.64,36.73
2014-04-14,2943.27,40.28,97.70,29.93,32.64,36.74
2014-04-15,2952.68,40.10,96.78,29.93,32.64,36.75
2014-04-16,2918.78,40.01,96.17,29.93,32.65,36.75
2014-04-17,2921.63,40.27,97.40,29.94,32.66,36.77
2014-04-18,2916.66,40.91,99.24,29.94,32.66,36.81
2014-04-21,2922.43,40.27,97.10,29.94,32.67,36.81
2014-04-22,2876.06,39.49,92.85,29.95,32.69,36.85
2014-04-23,2871.33,39.55,93.62,29.96,32.70,36.86
2014-04-24,2864.56,38.59,89.38,29.96,32.71,36.88
2014-04-25,2848.01,37.88,86.06,29.97,32.72,36.91
2014-04-28,2803.59,36.59,77.31,29.98,32.73,36.91
2014-04-29,2737.39,36.89,79.76,29.98,32.73,36.91
2014-04-30,2770.01,37.33,84.31,29.98,32.74,36.92
2014-05-05,2782.73,37.67,85.09,29.99,32.75,36.94
2014-05-06,2795.58,37.97,86.47,29.99,32.76,36.96
2014-05-07,2805.43,37.13,81.53,29.99,32.77,36.96
2014-05-08,2768.45,37.17,82.16,29.99,32.77,36.98
2014-05-09,2768.01,36.96,79.49,30.00,32.77,36.98
2014-05-12,2752.85,37.61,84.75,30.00,32.77,36.99
2014-05-13,2814.11,37.70,85.07,30.01,32.78,37.00
2014-05-14,2809.57,37.60,84.50,30.01,32.79,37.00
2014-05-15,2807.94,36.90,78.72,30.01,32.79,37.00
2014-05-16,2763.50,36.60,76.08,30.01,32.79,37.00
2014-05-19,2760.31,36.49,75.67,30.02,32.80,37.00
2014-05-20,2734.65,36.64,76.74,30.02,32.80,37.00
2014-05-21,2740.79,37.01,80.18,30.02,32.80,37.00
2014-05-22,2765.51,37.06,80.50,30.02,32.81,37.01
2014-05-23,2763.34,37.50,84.22,30.03,32.82,37.01
2014-05-26,2789.86,38.05,86.89,30.03,32.83,37.01
2014-05-27,2812.25,37.91,86.32,30.04,32.84,37.02
2014-05-28,2801.61,38.27,87.96,30.04,32.84,37.02
2014-05-29,2833.39,37.83,85.34,30.05,32.85,37.05
2014-05-30,2807.80,37.85,85.36,30.06,32.86,37.07
2014-06-03,2812.16,37.79,85.09,30.08,32.87,37.09
2014-06-04,2805.94,37.58,83.80,30.09,32.88,37.10
2014-06-05,2781.95,38.05,86.73,30.10,32.88,37.11
2014-06-06,2814.32,38.14,87.19,30.10,32.88,37.12
2014-06-09,2800.26,37.92,86.19,30.10,32.89,37.13
2014-06-10,2791.16,38.30,88.24,30.11,32.90,37.13
2014-06-11,2826.07,38.61,89.86,30.11,32.91,37.14
2014-06-12,2834.22,38.53,89.15,30.11,32.91,37.14
2014-06-13,2827.94,38.86,90.61,30.11,32.91,37.14
2014-06-16,2858.13,39.07,91.49,30.11,32.91,37.15
2014-06-17,2877.47,38.62,89.63,30.11,32.91,37.16
2014-06-18,2850.28,38.46,88.49,30.11,32.91,37.17
2014-06-19,2834.03,37.69,83.19,30.11,32.91,37.17
2014-06-20,2773.13,37.93,85.37,30.12,32.92,37.19
2014-06-23,2793.45,38.25,87.11,30.12,32.93,37.20
2014-06-24,2806.46,38.56,88.98,30.13,32.94,37.21
2014-06-25,2823.21,38.30,87.29,30.13,32.95,37.22
2014-06-26,2809.01,39.02,91.44,30.14,32.96,37.22
2014-06-27,2839.68,39.30,92.31,30.14,32.98,37.25
2014-06-30,2851.29,39.85,95.02,30.14,33.01,37.27
2014-07-01,2875.34,40.12,96.73,30.14,33.01,37.27
2014-07-02,2884.26,40.20,96.74,30.14,33.01,37.28
2014-07-03,2897.53,40.44,98.44,30.14,33.02,37.29
2014-07-04,2914.80,40.54,98.87,30.14,33.02,37.31
2014-07-07,2911.08,40.46,98.59,30.14,33.03,37.31
2014-07-08,2909.61,40.84,99.15,30.15,33.05,37.31
